Distances,RSSI
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-26
0.01,-25
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-24
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.01,-23
0.1,-47
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-44
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-43
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-42
0.1,-41
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-39
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.1,-38
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-49
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-48
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-47
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-46
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-45
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-44
0.2,-43
0.2,-42
0.2,-42
0.3,-56
0.3,-56
0.3,-56
0.3,-56
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-55
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-54
0.3,-52
0.3,-52
0.3,-50
0.3,-50
0.3,-50
0.3,-50
0.3,-50
0.3,-50
0.3,-50
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-49
0.3,-48
0.3,-48
0.3,-48
0.3,-48
0.3,-48
0.3,-48
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
0.3,-47
